category,title,img,grade,homepage,address,phone,lat,lon
한식,가온,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4251-495x250.jpg,icon-star3,https://guide.michelin.co.kr/ko/restaurant/gaon/,"강남구 도산대로 317, 호림아트센터 M층",02-545-9845,37.5226935,127.0363642
이탈리안,갈리나 데이지,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1663-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/gallina-daisy/,종로구 자하문로 13길 1-4,02-720-1248,37.57988,126.970954
만두,개성만두 궁,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1329_1-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/gaeseong-mandu-koong/,종로구 인사동 10길 11-3,02-733-9240,37.5742741,126.9854319
삼계탕,고려 삼계탕,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1010-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/korea-samgye-tang/,중구 서소문로길 1,02-752-9376,,
삼계탕,고봉 삼계탕,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5222-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/gobong-samgye-tang/,"중구 명동 7길 21, 2층",02-756-2300,37.5647528,126.9838424
바비큐,곰바위,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1886-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/gom-ba-wie/,강남구 영동대로 115길 10,02-511-0068,37.5148956,127.0588286
한식,곳간,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0932-1-495x250.jpg,icon-star2,https://guide.michelin.co.kr/ko/restaurant/gotgan/,"영등포구 여의대로 24, 전경련 회관 50층",02-2055-4445,37.5221961,126.9202079
만두,구복만두,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_2471-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/goobok-mandu/,용산구 두텁바위로 10,02-797-8656,37.545041,126.9732512
한식,권숙수,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3815-495x250.jpg,icon-star2,https://guide.michelin.co.kr/ko/restaurant/kwon-sook-soo/,"강남구 언주로 170길 27, 2층",02-542-6268,37.5267936,127.0359227
두부,백년옥,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5936_re-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/baecnyunok/,서초구 남부순환로 2407,02-523-2860,37.4811939,127.013785
중식,백리향,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1199-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/baek-ni-hyang/,"영등포구 63로 50, 63빌딩 57층",02-789-5741,37.5195044,126.9398453
바비큐,뱀부 하우스,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3693-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/bamboo-house/,강남구 언주로 107길 33,02-566-0870,37.5070509,127.0366562
바비큐,버드나무 집,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0355-1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/budnamujip/,서울시 서초구 효령로 434,02-3473-4167,37.4891121,127.0311965
이탈리안,보나세라,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/Buona-Sera-1_re-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/buona-sera/,강남구 도산대로 45길 18-2,02-543-6668,37.5236877,127.0356678
바비큐,보름쇠,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4299-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/bo-reum-soei/,강남구 테헤란로 81길 36,02-569-9967,37.5093156,127.0566505
이탈리안,보칼리노,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4830-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/boccalino/,"종로구 새문안로 97, 포시즌스 호텔 2층",02-6388-5500,37.570699,126.9754535
